idx,image_path,baseline_lmk_err,finetuned_lmk_err,lmk_err_delta_ft_minus_base,finetuned_cam_score,finetuned_lmk_abs_max
625,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_11_chin_raiser_32.jpg,0.2727803885936737,696.7684936523438,696.4957132637501,483.8267012834549,763.454833984375
758,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_3_mouth_stretch_35.jpg,0.04382999613881111,671.8880004882812,671.8441704921424,482.7148903608322,741.3746337890625
538,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_12_lip_puckerer_33.jpg,0.035832952708005905,551.337890625,551.302057672292,442.262748837471,629.9510498046875
136,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_9_mouth_right_32.jpg,0.2282063215970993,495.1334533691406,494.9052470475435,416.1480075120926,568.5608520507812
643,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_10_2_smile_32.jpg,0.2503843307495117,493.91705322265625,493.66666889190674,416.15489238500595,567.5792846679688
909,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_7_8_mouth_left_12.jpg,0.2909330725669861,477.75762939453125,477.46669632196426,408.9294272661209,548.7807006835938
81,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_4_anger_22.jpg,0.032557956874370575,460.6330871582031,460.60052920132875,401.997149348259,528.5435791015625
690,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_17_cheek_blowing_0.jpg,0.034318987280130386,442.3667297363281,442.332410749048,397.49565601348877,505.8182678222656
673,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_4_anger_34.jpg,0.03109128400683403,425.6371765136719,425.60608522966504,389.2212384939194,484.2369384765625
973,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_8_mouth_left_1.jpg,0.030115345492959023,383.8233642578125,383.79324891231954,368.24973821640015,430.7944030761719
666,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_13_7_jaw_forward_8.jpg,0.04020751267671585,346.8642578125,346.8240502998233,347.9153130054474,381.771240234375
395,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_11_6_jaw_right_65.jpg,0.050590746104717255,288.8304138183594,288.77982307225466,310.8668669462204,307.8113708496094
366,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_15_lip_roll_33.jpg,0.029352650046348572,244.06459045410156,244.0352378040552,286.4290446639061,291.3877258300781
155,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_14_sadness_32.jpg,0.3029598593711853,222.0846710205078,221.78171116113663,269.70999121665955,270.14483642578125
792,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_1_15_lip_roll_22.jpg,0.03469108045101166,161.96463012695312,161.9299390465021,231.43176567554474,202.03004455566406
330,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_4_17_cheek_blowing_33.jpg,0.031187668442726135,151.3225860595703,151.2913983911276,226.7121912240982,182.40899658203125
917,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_17_11_chin_raiser_16.jpg,0.04653635993599892,116.9168472290039,116.87031086906791,201.4862792789936,125.53922271728516
166,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_18_15_lip_roll_32.jpg,0.03449733927845955,95.63653564453125,95.60203830525279,185.29650643467903,97.09735870361328
485,/mnt/c/Users/Chirayu/Documents/GitHub/2D-to-3D-image-reconstruction/facescape_224/fsmview_trainset_14_7_jaw_forward_31.jpg,0.03131144493818283,91.12645721435547,91.09514576941729,180.48583590984344,92.68650817871094
